Nazwa_miasta;Wojewodztwo;Liczba_mieszkancow;Liczba_kobiet;Liczba_mezczyzn;Grupa_wiekowa;Powierzchnia_miasta;Powierzchnia_terenow_zielonych;Data_aktualizacji
ü—d;ü—dzkie;15,1;7,4;7,7;13-15 lat;293,3;2947;2013.12.31
ü—d;ü—dzkie;17,3;8,4;8,9;16-18 lat;293,3;2947;2013.12.31
ü—d;ü—dzkie;44,7;22,3;22,4;19-24 lat;293,3;2947;2013.12.31
ü—d;ü—dzkie;111,3;56,1;55,2;25-34 lat;293,3;2947;2013.12.31
ü—d;ü—dzkie;101,2;51,3;49,9;35-44 lat;293,3;2947;2013.12.31
ü—d;ü—dzkie;85,8;46,1;39,7;45-54 lat;293,3;2947;2013.12.31
ü—d;ü—dzkie;124,3;70,6;53,6;55-64 lat;293,3;2947;2013.12.31
ü—d;ü—dzkie;137,5;89,5;48;65 lat i wi«cej;293,3;2947;2013.12.31
Krak—w;Ma¸opolskie;758334;405051;353283;og—¸em;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;23201;11053;12148;0-2 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;29265;14303;14962;3-6 lat;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;34750;16765;17985;7-12 lat;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;17202;8511;8691;13-15 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;19550;9645;9905;16-18 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;61436;31234;30202;19-24 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;70129;36425;33704;25-29 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;69171;35472;33699;30-34 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;61272;31337;29935;35-39 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;47436;24275;23161;40-44 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;42322;21892;20430;45-49 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;47864;25698;22166;50-54 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;56943;31440;25503;55-59 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;51666;29210;22456;60-64 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;38476;22034;16442;65-69 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;27876;16573;11303;70-74 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;25983;16228;9755;78-79 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;20101;13173;6928;80 -84 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;9976;6988;2988;85-89 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;3060;2266;794;90-94 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;522;418;104;95-99 lata;326,8;1731;2012.12.31
Krak—w;Ma¸opolskie;133;111;22;100 lat i wi«cej ;326,8;1731;2012.12.31
Wroc¸aw;Dolnoælˆskie;631235;336666;294569;og—¸em;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;19794;9634;10160;0-2 lata;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;22832;11258;11574;3-6 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;35024;17092;17932;7-14 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;14990;7316;7674;15-17 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;11224;5519;5705;18-19 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;46029;23601;22428;20-24 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;60924;31135;29789;25-29 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;58367;29540;28827;30-34 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;48765;24625;24140;35-39 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;35308;17684;17624;40-44 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;33902;17550;16352;45-49 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;43660;23247;20413;50-54 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;52356;28628;23728;55-59 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;46968;26170;20798;60-64 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;25574;14735;10839;65-69 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;23792;14574;9218;70-74 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;22486;14303;8183;75-79 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;17380;11563;5817;80-84 lat;292,8;1703;2011.12.31
Wroc¸aw;Dolnoælˆskie;11860;8492;3368;85 lat i wi«cej;292,8;1703;2011.12.31
PoznaÄ;Wielkopolskie;550742;256499;294243;og—¸em;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;17451;8977;8474;0-2 lata;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;21530;11088;10442;3-6 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;24743;12727;12016;7-12 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;12119;6155;5964;13-15 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;13500;6849;6651;16-18 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;42888;21048;21840;19-24 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;103599;50680;52919;25-34 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;76899;37877;39022;35-44 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;63288;30054;33234;45-54 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;84589;37271;47318;55-64 lat;261,9;4039;31.12.2012
PoznaÄ;Wielkopolskie;90136;33773;56363;65 lat i wi«cej;261,9;4039;31.12.2012
GdaÄsk;Pomorskie;456658;216374;240284;og—¸em;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;12540;6481;6059;0-2 lata;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;14849;7603;7246;3-6 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;33025;16808;16217;7-14 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;15505;8014;7491;15-17 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;11548;5818;5730;18-19 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;37690;18680;19010;20-24 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;40731;19917;20814;25-29 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;38529;19406;19123;30-34 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;29458;14892;14566;35-39 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;26148;13091;13057;40-44 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;31662;15129;16533;45-49 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;38491;17656;20835;50-54 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;36753;16976;19777;55-59 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;21584;9685;11899;60-64 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;20151;8722;11429;65-69 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;18431;7686;10745;70-74 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;14542;5453;9089;75-79 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;15021;4357;10664;80-84 lat;261,62;4854;31.12.2007
GdaÄsk;Pomorskie;;;;85 lat i wi«cej;261,62;4854;31.12.2007

